time,joint_index,x,y,z,xr,yr,zr,wr
0.026656,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.026656,1,34.684441,0.0,0.0,0.0,0.0,0.0,1.0
0.026656,2,34.684441,0.0,0.0,0.0,0.0,0.0,1.0
0.026656,3,74.684441,0.0,0.0,0.0,0.0,0.0,1.0
0.026656,4,74.684441,0.0,0.0,0.0,0.0,0.0,1.0
0.026656,5,114.684448,0.0,0.0,0.0,0.0,0.0,1.0
0.026656,6,114.684448,0.0,0.0,0.0,0.0,0.0,1.0
0.026656,7,154.684433,0.0,0.0,0.0,0.0,0.0,1.0
0.026656,8,154.684433,0.0,0.0,0.0,0.0,0.0,1.0
0.026656,9,194.684433,0.0,0.0,0.0,0.0,0.0,1.0
0.026656,10,194.684433,0.0,0.0,0.0,0.0,0.0,1.0
0.026656,11,234.684448,34.684441,34.684441,0.005316,-0.072329,0.073106,0.994684
0.353275,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.353275,1,34.684441,0.0,0.0,0.0,0.0,0.0,1.0
0.353275,2,34.684441,0.0,0.0,0.0,0.0,0.0,1.0
0.353275,3,74.684441,0.0,0.0,0.0,0.0,0.0,1.0
0.353275,4,74.684441,0.0,0.0,0.0,0.0,0.0,1.0
0.353275,5,114.684448,0.0,0.0,0.0,0.0,0.0,1.0
0.353275,6,114.684448,0.0,0.0,0.0,0.0,0.0,1.0
0.353275,7,154.684433,0.0,0.0,0.0,0.0,0.0,1.0
0.353275,8,154.684433,0.0,0.0,0.0,0.0,0.0,1.0
0.353275,9,194.684433,0.0,0.0,0.0,0.0,0.0,1.0
0.353275,10,194.684433,0.0,0.0,0.0,0.0,0.0,1.0
0.353275,11,234.684448,34.684441,34.684441,0.005316,-0.072329,0.073106,0.994684
0.396808,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.396808,1,36.885101,0.0,-0.187125,0.0,0.002537,0.0,0.999997
0.396808,2,36.885101,0.0,-0.187125,0.0,0.002537,0.0,0.999997
0.396808,3,75.997406,0.000508,-0.203315,-0.0,0.001338,0.000003,0.999999
0.396808,4,75.997406,0.000508,-0.203315,-0.0,0.001338,0.000003,0.999999
0.396808,5,115.876678,0.053957,-0.150209,-0.0,0.000648,0.000233,1.0
0.396808,6,115.876678,0.053956,-0.150209,-0.0,0.000648,0.000233,1.0
0.396808,7,155.728668,0.94001,0.735843,0.000006,-0.002362,0.003018,0.999993
0.396808,8,155.728668,0.94001,0.735843,0.000006,-0.002362,0.003018,0.999993
0.396808,9,191.427536,6.894046,6.689879,0.000222,-0.017454,0.017993,0.999686
0.396808,10,191.427536,6.894045,6.689878,0.000222,-0.017454,0.017993,0.999686
0.396808,11,221.391739,18.907402,18.703241,0.00081,-0.041985,0.042501,0.998213
0.434607,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.434607,1,37.476868,0.001646,-0.544217,-0.0,0.00726,0.000022,0.999974
0.434607,2,37.47686,0.001646,-0.544217,-0.0,0.00726,0.000022,0.999974
0.434607,3,77.101677,0.027621,-0.640724,-0.000001,0.004155,0.000179,0.999991
0.434607,4,77.101677,0.027621,-0.640724,-0.000001,0.004155,0.000179,0.999991
0.434607,5,114.870911,0.270564,-0.409523,-0.000003,0.001783,0.001178,0.999998
0.434607,6,114.870911,0.270565,-0.409523,-0.000003,0.001783,0.001178,0.999998
0.434607,7,150.566254,1.785489,1.104935,0.000008,-0.003669,0.005929,0.999976
0.434607,8,150.566254,1.785487,1.104933,0.000008,-0.003669,0.005929,0.999976
0.434607,9,182.746536,11.41799,10.737432,0.000596,-0.029281,0.031172,0.999085
0.434607,10,182.746536,11.417988,10.73743,0.000596,-0.029281,0.031172,0.999085
0.434607,11,217.18187,7.677718,6.997177,0.000789,-0.01612,0.017638,0.999714
0.474948,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.474948,1,36.285057,0.011252,-0.988939,-0.000002,0.013624,0.000155,0.999907
0.474948,2,36.285057,0.011252,-0.988939,-0.000002,0.013624,0.000155,0.999907
0.474948,3,73.687431,0.081123,-1.282876,-0.000006,0.008704,0.00055,0.999962
0.474948,4,73.687431,0.081123,-1.282876,-0.000006,0.008704,0.00055,0.999962
0.474948,5,110.090179,0.483038,-0.942696,-0.000016,0.004281,0.002194,0.999988
0.474948,6,110.090179,0.483038,-0.942697,-0.000016,0.004281,0.002194,0.999988
0.474948,7,145.697968,2.91009,1.48096,0.000003,-0.005081,0.009986,0.999937
0.474948,8,145.697968,2.910089,1.480959,0.000003,-0.005081,0.009986,0.999937
0.474948,9,177.320892,14.3354,12.906232,0.000791,-0.036203,0.040279,0.998532
0.474948,10,177.320892,14.335397,12.906229,0.000791,-0.036203,0.040279,0.998532
0.474948,11,204.856308,-0.959809,-2.388958,0.002718,0.005553,-0.002603,0.999978
0.515833,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.515833,1,34.695641,0.026437,-1.627329,-0.000009,0.023432,0.000381,0.999725
0.515833,2,34.695641,0.026437,-1.627329,-0.000009,0.023432,0.000381,0.999725
0.515833,3,69.689056,0.161495,-2.14112,-0.000024,0.015357,0.001158,0.999881
0.515833,4,69.689056,0.161495,-2.14112,-0.000024,0.015357,0.001158,0.999881
0.515833,5,105.08107,0.849017,-1.588868,-0.000055,0.00756,0.004039,0.999963
0.515833,6,105.081062,0.849017,-1.588868,-0.000055,0.00756,0.004039,0.999963
0.515833,7,140.267822,4.454872,2.005334,-0.00003,-0.007142,0.015875,0.999848
0.515833,8,140.267822,4.454872,2.005334,-0.00003,-0.007142,0.015875,0.999848
0.515833,9,172.152466,15.10963,12.659638,0.000522,-0.03656,0.043707,0.998375
0.515833,10,172.152466,15.109629,12.659637,0.000522,-0.03656,0.043707,0.998375
0.515833,11,188.720901,-6.525693,-8.975676,0.004575,0.023173,-0.017801,0.999563
0.558176,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.558176,1,33.809822,0.035616,-2.65117,-0.000021,0.039117,0.000526,0.999234
0.558176,2,33.809818,0.035616,-2.65117,-0.000021,0.039117,0.000526,0.999234
0.558176,3,67.145004,0.246028,-3.302144,-0.00006,0.024567,0.00183,0.999696
0.558176,4,67.145004,0.246028,-3.302144,-0.00006,0.024567,0.00183,0.999696
0.558176,5,100.929443,1.316988,-2.405984,-0.000139,0.011916,0.006521,0.999908
