time,joint_index,x,y,z,xr,yr,zr,wr
0.008335,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.008335,1,86.711098,0.0,0.0,0.0,0.0,0.0,1.0
0.008335,2,100.0,0.0,0.0,0.0,0.0,0.0,1.0
0.008335,3,186.711105,0.0,0.0,0.0,0.0,0.0,1.0
0.205614,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.205614,1,86.711098,0.0,0.0,0.0,0.0,0.0,1.0
0.205614,2,100.0,0.0,0.0,0.0,0.0,0.0,1.0
0.205614,3,186.711105,0.0,0.0,0.0,0.0,0.0,1.0
0.213949,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.213949,1,86.711098,0.0,-0.068056,0.0,0.000392,0.0,1.0
0.213949,2,100.0,0.0,-0.068056,0.0,0.00034,0.0,1.0
0.213949,3,186.711105,0.0,-0.068056,0.0,0.000182,0.0,1.0
0.222283,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.222283,1,86.710426,0.0,-0.408333,0.0,0.002355,0.0,0.999997
0.222283,2,99.999344,0.0,-0.408333,0.0,0.002042,0.0,0.999998
0.222283,3,186.710724,0.0,-0.408333,0.0,0.001093,0.0,0.999999
0.230618,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.230618,1,86.706268,0.0,-1.02078,0.0,0.005886,0.0,0.999983
0.230618,2,99.995193,0.0,-1.020855,0.0,0.005104,0.0,0.999987
0.230618,3,186.707458,0.0,-1.020833,0.0,0.002734,0.0,0.999996
0.238952,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.238952,1,86.692879,0.0,-1.90499,0.0,0.010985,0.0,0.99994
0.238952,2,99.981812,0.0,-1.905598,0.0,0.009528,0.0,0.999955
0.238952,3,186.695618,0.0,-1.905555,0.0,0.005103,0.0,0.999987
0.247285,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.247285,1,86.661896,0.0,-3.059904,0.0,0.017646,0.0,0.999844
0.247285,2,99.95079,0.0,-3.062542,0.0,0.015315,0.0,0.999883
0.247285,3,186.666687,0.0,-3.0625,0.0,0.008202,0.0,0.999966
0.25562,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.25562,1,86.602455,0.0,-4.483325,0.0,0.025859,0.0,0.999666
0.25562,2,99.891373,0.0,-4.491668,0.0,0.022466,0.0,0.999748
0.25562,3,186.609818,0.0,-4.491666,0.0,0.012032,0.0,0.999928
0.263955,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.263955,1,86.501564,0.0,-6.171364,0.0,0.035604,0.0,0.999366
0.263955,2,99.790482,0.0,-6.192911,0.0,0.030985,0.0,0.99952
0.263955,3,186.511932,0.0,-6.193055,0.0,0.016595,0.0,0.999862
0.272289,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.272289,1,86.344093,0.0,-8.117805,0.0,0.046854,0.0,0.998902
0.272289,2,99.632919,0.0,-8.166073,0.0,0.040878,0.0,0.999164
0.272289,3,186.357819,0.0,-8.166666,0.0,0.021895,0.0,0.99976
0.280623,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.280623,1,86.113152,0.0,-10.313563,0.0,0.059565,0.0,0.998224
0.280623,2,99.401741,0.0,-10.410653,0.0,0.052153,0.0,0.998639
0.280623,3,186.130402,0.0,-10.412498,0.0,0.027938,0.0,0.99961
0.288956,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.288956,1,85.79071,0.0,-12.746334,0.0,0.073681,0.0,0.997282
0.288956,2,99.078537,0.0,-12.925573,0.0,0.064817,0.0,0.997897
0.288956,3,185.811157,0.0,-12.930548,0.0,0.034732,0.0,0.999397
0.29729,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.29729,1,85.358246,0.0,-15.400415,0.0,0.089132,0.0,0.99602
0.29729,2,98.643845,0.0,-15.708678,0.0,0.078878,0.0,0.996884
0.29729,3,185.380539,0.0,-15.720809,0.0,0.042288,0.0,0.999105
0.305625,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.305625,1,84.797279,0.0,-18.256866,0.0,0.105833,0.0,0.994384
0.305625,2,98.077377,0.0,-18.756096,0.0,0.094338,0.0,0.99554
0.305625,3,184.818176,0.0,-18.783268,0.0,0.05062,0.0,0.998718
0.313959,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.313959,1,84.090111,0.0,-21.293869,0.0,0.123689,0.0,0.992321
0.313959,2,97.35804,0.0,-22.061314,0.0,0.111188,0.0,0.993799
0.313959,3,184.10289,0.0,-22.117886,0.0,0.059747,0.0,0.998214
0.322293,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.322293,1,83.220345,0.0,-24.487303,0.0,0.142597,0.0,0.989781
0.322293,2,96.463676,0.0,-25.614035,0.0,0.129407,0.0,0.991592
0.322293,3,183.212448,0.0,-25.724571,0.0,0.069691,0.0,0.997569
0.330628,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.330628,1,82.173325,0.0,-27.811533,0.0,0.162451,0.0,0.986717
0.330628,2,95.370949,0.0,-29.398733,0.0,0.148951,0.0,0.988845
0.330628,3,182.123459,0.0,-29.603138,0.0,0.08048,0.0,0.996756
0.338962,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.338962,1,80.936119,0.0,-31.240396,0.0,0.183145,0.0,0.983086
0.338962,2,94.055496,0.0,-33.393147,0.0,0.169751,0.0,0.985487
0.338962,3,180.811218,0.0,-33.753235,0.0,0.092145,0.0,0.995746
0.347295,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.347295,1,79.497437,0.0,-34.748337,0.0,0.204582,0.0,0.978849
0.347295,2,92.492714,0.0,-37.566849,0.0,0.191709,0.0,0.981452
0.347295,3,179.250458,0.0,-38.174225,0.0,0.104723,0.0,0.994501
0.35563,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.35563,1,77.847038,0.0,-38.311573,0.0,0.226682,0.0,0.973969
0.35563,2,90.659294,0.0,-41.880672,0.0,0.214692,0.0,0.976682
0.35563,3,177.416519,0.0,-42.865002,0.0,0.118254,0.0,0.992983
0.363964,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.363964,1,75.974854,0.0,-41.908897,0.0,0.249381,0.0,0.968405
0.363964,2,88.53595,0.0,-46.287552,0.0,0.238542,0.0,0.971132
0.363964,3,175.28743,0.0,-47.82383,0.0,0.132781,0.0,0.991145
0.372298,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.372298,1,73.870491,0.0,-45.52158,0.0,0.27264,0.0,0.962116
0.372298,2,86.110077,0.0,-50.73534,0.0,0.263084,0.0,0.964773
0.372298,3,172.845901,0.0,-53.048115,0.0,0.148342,0.0,0.988936
0.380632,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.380632,1,71.523201,0.0,-49.132141,0.0,0.296431,0.0,0.955054
0.380632,2,83.377731,0.0,-55.170773,0.0,0.288133,0.0,0.95759
0.380632,3,170.0802,0.0,-58.534237,0.0,0.164972,0.0,0.986298
0.388966,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.388966,1,68.92276,0.0,-52.722172,0.0,0.320729,0.0,0.947171
0.388966,2,80.343864,0.0,-59.543247,0.0,0.313515,0.0,0.949583
0.388966,3,166.983032,0.0,-64.277374,0.0,0.182693,0.0,0.98317
0.397301,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.397301,1,66.061234,0.0,-56.270214,0.0,0.345494,0.0,0.938421
0.397301,2,77.021057,0.0,-63.807072,0.0,0.339063,0.0,0.940764
0.397301,3,163.549118,0.0,-70.271271,0.0,0.201518,0.0,0.979485
0.405636,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.405636,1,62.934978,0.0,-59.750309,0.0,0.370663,0.0,0.928767
0.405636,2,73.427452,0.0,-67.921814,0.0,0.364628,0.0,0.931153
0.405636,3,159.771957,0.0,-76.507843,0.0,0.221444,0.0,0.975173
0.413969,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
