time,joint_index,x,y,z,xr,yr,zr,wr
0.186515,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.186515,1,20.0,0.0,0.0,0.0,0.0,0.0,1.0
0.186515,2,40.0,0.0,0.0,0.0,0.0,0.0,1.0
0.186515,3,60.000004,0.0,0.0,0.0,0.0,0.0,1.0
0.186515,4,80.0,0.0,0.0,0.0,0.0,0.0,1.0
0.186515,5,100.0,0.0,0.0,0.0,0.0,0.0,1.0
0.186515,6,120.000008,0.0,0.0,0.0,0.0,0.0,1.0
0.186515,7,140.0,0.0,0.0,0.0,0.0,0.0,1.0
0.186515,8,160.0,0.0,0.0,0.0,0.0,0.0,1.0
0.186515,9,180.0,0.0,0.0,0.0,0.0,0.0,1.0
0.186515,10,200.0,0.0,0.0,0.0,0.0,0.0,1.0
0.186515,11,220.0,0.0,0.0,0.0,0.0,0.0,1.0
0.186515,12,240.000015,0.0,0.0,0.0,0.0,0.0,1.0
0.186515,13,260.0,0.0,0.0,0.0,0.0,0.0,1.0
0.186515,14,280.0,0.0,0.0,0.0,0.0,0.0,1.0
0.186515,15,300.0,0.0,0.0,0.0,0.0,0.0,1.0
0.186515,16,320.0,0.0,0.0,0.0,0.0,0.0,1.0
0.186515,17,340.0,0.0,0.0,0.0,0.0,0.0,1.0
0.186515,18,360.0,0.0,0.0,0.0,0.0,0.0,1.0
0.186515,19,380.0,0.0,0.0,0.0,0.0,0.0,1.0
0.186515,20,400.0,0.0,0.0,0.0,0.0,0.0,1.0
0.216487,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.216487,1,20.0,0.0,0.0,0.0,0.0,0.0,1.0
0.216487,2,40.0,0.0,0.0,0.0,0.0,0.0,1.0
0.216487,3,59.984005,0.0,-1.018982,0.0,0.008493,0.0,0.999964
0.216487,4,79.987869,0.0,-1.02055,0.0,0.006379,0.0,0.99998
0.216487,5,99.989738,0.0,-1.020833,0.0,0.005104,0.0,0.999987
0.216487,6,119.992615,0.0,-1.020833,0.0,0.004254,0.0,0.999991
0.216487,7,139.994293,0.0,-1.020833,0.0,0.003646,0.0,0.999993
0.216487,8,159.995728,0.0,-1.020833,0.0,0.00319,0.0,0.999995
0.216487,9,179.996948,0.0,-1.020833,0.0,0.002836,0.0,0.999996
0.216487,10,199.997864,0.0,-1.020833,0.0,0.002552,0.0,0.999997
0.216487,11,219.998474,0.0,-1.020833,0.0,0.00232,0.0,0.999997
0.216487,12,239.998947,0.0,-1.020833,0.0,0.002127,0.0,0.999998
0.216487,13,259.999298,0.0,-1.020833,0.0,0.001963,0.0,0.999998
0.216487,14,279.999512,0.0,-1.020833,0.0,0.001823,0.0,0.999998
0.216487,15,299.999695,0.0,-1.020833,0.0,0.001701,0.0,0.999999
0.216487,16,319.999817,0.0,-1.020833,0.0,0.001595,0.0,0.999999
0.216487,17,339.999878,0.0,-1.020833,0.0,0.001501,0.0,0.999999
0.216487,18,359.999939,0.0,-1.020833,0.0,0.001418,0.0,0.999999
0.216487,19,379.999969,0.0,-1.020833,0.0,0.001343,0.0,0.999999
0.216487,20,399.999969,0.0,-1.020833,0.0,0.001276,0.0,0.999999
0.245227,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.245227,1,20.0,0.0,0.0,0.0,0.0,0.0,1.0
0.245227,2,40.0,0.0,0.0,0.0,0.0,0.0,1.0
0.245227,3,59.701496,0.0,-4.224555,0.0,0.035314,0.0,0.999376
0.245227,4,79.755768,0.0,-4.469419,0.0,0.027987,0.0,0.999608
0.245227,5,99.774864,0.0,-4.490345,0.0,0.022485,0.0,0.999747
0.245227,6,119.808601,0.0,-4.49159,0.0,0.018735,0.0,0.999824
0.245227,7,139.832397,0.0,-4.491664,0.0,0.016055,0.0,0.999871
0.245227,8,159.855652,0.0,-4.491666,0.0,0.014045,0.0,0.999901
0.245227,9,179.876221,0.0,-4.491666,0.0,0.012482,0.0,0.999922
0.245227,10,199.89447,0.0,-4.491666,0.0,0.011233,0.0,0.999937
0.245227,11,219.909897,0.0,-4.491666,0.0,0.010211,0.0,0.999948
0.245227,12,239.923218,0.0,-4.491666,0.0,0.009359,0.0,0.999956
0.245227,13,259.934601,0.0,-4.491666,0.0,0.008639,0.0,0.999963
0.245227,14,279.944092,0.0,-4.491666,0.0,0.008022,0.0,0.999968
0.245227,15,299.951843,0.0,-4.491666,0.0,0.007487,0.0,0.999972
0.245227,16,319.957977,0.0,-4.491666,0.0,0.007019,0.0,0.999975
0.245227,17,339.962555,0.0,-4.491666,0.0,0.006606,0.0,0.999978
0.245227,18,359.965759,0.0,-4.491666,0.0,0.006239,0.0,0.999981
0.245227,19,379.967255,0.0,-4.491666,0.0,0.00591,0.0,0.999983
0.245227,20,399.968231,0.0,-4.491666,0.0,0.005615,0.0,0.999984
0.274331,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.274331,1,20.0,0.0,0.0,0.0,0.0,0.0,1.0
0.274331,2,40.0,0.0,0.0,0.0,0.0,0.0,1.0
0.274331,3,59.031849,0.0,-7.235979,0.0,0.060947,0.0,0.998141
0.274331,4,78.883301,0.0,-9.891612,0.0,0.062332,0.0,0.998055
0.274331,5,98.986633,0.0,-10.336822,0.0,0.052001,0.0,0.998647
0.274331,6,119.041489,0.0,-10.403637,0.0,0.043573,0.0,0.99905
0.274331,7,139.113556,0.0,-10.411517,0.0,0.037342,0.0,0.999303
0.274331,8,159.173889,0.0,-10.412424,0.0,0.032655,0.0,0.999467
0.274331,9,179.233124,0.0,-10.412494,0.0,0.02901,0.0,0.999579
0.274331,10,199.287003,0.0,-10.412498,0.0,0.026097,0.0,0.999659
0.274331,11,219.336288,0.0,-10.412498,0.0,0.023716,0.0,0.999719
0.274331,12,239.380402,0.0,-10.412498,0.0,0.021733,0.0,0.999764
0.274331,13,259.419617,0.0,-10.412498,0.0,0.020056,0.0,0.999799
0.274331,14,279.453735,0.0,-10.412498,0.0,0.01862,0.0,0.999827
0.274331,15,299.482574,0.0,-10.412498,0.0,0.017376,0.0,0.999849
0.274331,16,319.506104,0.0,-10.412498,0.0,0.016288,0.0,0.999867
0.274331,17,339.524017,0.0,-10.412498,0.0,0.015328,0.0,0.999883
0.274331,18,359.536926,0.0,-10.412498,0.0,0.014475,0.0,0.999895
