Format Version,1.21,Take Name,Bend 0 Try 2,Capture Frame Rate,120,Export Frame Rate,120,Capture Start Time,2021-03-12 09.52.00.856 PM,Total Frames in Take,4720,Total Exported Frames,4720,Rotation Type,Quaternion,Length Units,Millimeters
,,,,,,,,,,,,,,,,,
,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,Ground,Ground,Ground,Ground,Ground,Ground,Ground,Ground,Module,Module,Module,Module,Module,Module,Module,Module
,,E1F0FEE983A311EB3A9F34CA0568EFB1,E1F0FEE983A311EB3A9F34CA0568EFB1,E1F0FEE983A311EB3A9F34CA0568EFB1,E1F0FEE983A311EB3A9F34CA0568EFB1,E1F0FEE983A311EB3A9F34CA0568EFB1,E1F0FEE983A311EB3A9F34CA0568EFB1,E1F0FEE983A311EB3A9F34CA0568EFB1,E1F0FEE983A311EB3A9F34CA0568EFB1,773CCB4983A511EB3A9F34CA0568EFB1,773CCB4983A511EB3A9F34CA0568EFB1,773CCB4983A511EB3A9F34CA0568EFB1,773CCB4983A511EB3A9F34CA0568EFB1,773CCB4983A511EB3A9F34CA0568EFB1,773CCB4983A511EB3A9F34CA0568EFB1,773CCB4983A511EB3A9F34CA0568EFB1,773CCB4983A511EB3A9F34CA0568EFB1
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker
Frame,Time,X,Y,Z,W,X,Y,Z,error,X,Y,Z,W,X,Y,Z,error
0,0,6.1E-05,-3E-05,0.000176,-1,60.035751,-0.252223,76.832329,0.003397,-0.003199,0.001105,-0.000755,-0.999994,-37.12962,115.529182,140.150787,0.079958
1,0.008333,8.5E-05,-4.1E-05,0.000175,-1,60.034264,-0.252636,76.834053,0.003676,-0.00303,0.001194,-0.000423,-0.999995,-37.138741,115.500282,140.151489,0.091648
2,0.016667,0.000106,-4.6E-05,0.000149,-1,60.029118,-0.236073,76.828194,0.005424,-0.005681,0.00091,-0.001264,-0.999983,-37.118675,115.501953,140.147873,0.088595
3,0.025,8.4E-05,-4.5E-05,0.000187,-1,60.027592,-0.216706,76.838264,0.006452,-0.004535,0.000414,-0.001536,-0.999988,-37.140732,115.490608,140.163116,0.10417
